2024-08-04 22:40:56.993 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1226 ms
2024-08-04 22:40:57.846 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-08-04 22:40:57.866 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-08-04 22:40:57.885 [main] INFO  io.github.vino42.SpringbootRedisApplication - Started SpringbootRedisApplication in 2.775 seconds (process running for 3.447)
2024-08-04 22:41:02.482 [http-nio-8888-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-04 22:41:02.482 [http-nio-8888-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-08-04 22:41:02.483 [http-nio-8888-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-08-04 22:48:23.389 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 20620 (G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce\target\classes started by vino in G:\Codes\GithubCodes\SpringBoot-Learning\springboot-redis\springboot-redis-lettuce)
2024-08-04 22:48:23.398 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2024-08-04 22:48:23.997 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-08-04 22:48:24.000 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-08-04 22:48:24.030 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2024-08-04 22:48:24.485 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2024-08-04 22:48:24.493 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2024-08-04 22:48:24.494 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2024-08-04 22:48:24.495 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2024-08-04 22:48:24.580 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2024-08-04 22:48:24.582 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1095 ms
2024-08-04 22:48:25.534 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2024-08-04 22:48:25.574 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2024-08-04 22:48:25.592 [main] INFO  io.github.vino42.SpringbootRedisApplication - Started SpringbootRedisApplication in 2.797 seconds (process running for 3.518)
