2023-08-31 19:30:38.902 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 19:30:38.902 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 19:30:38.998 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-31 19:30:38.998 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1040 ms
2023-08-31 19:30:39.867 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8898"]
2023-08-31 19:30:39.890 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8898 (http) with context path ''
2023-08-31 19:30:39.912 [main] INFO  io.github.vino42.SpringbootRedisApplication - Started SpringbootRedisApplication in 2.52 seconds (process running for 3.113)
2023-08-31 19:35:07.207 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 15456 (G:\Codes\SpringBoot-Learning\springboot-redis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis)
2023-08-31 19:35:07.209 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 19:35:07.752 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-31 19:35:07.755 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-31 19:35:07.782 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2023-08-31 19:35:08.259 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8898 (http)
2023-08-31 19:35:08.268 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8898"]
2023-08-31 19:35:08.269 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 19:35:08.270 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 19:35:08.364 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-31 19:35:08.365 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1110 ms
2023-08-31 19:35:09.166 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8898"]
2023-08-31 19:35:09.184 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8898 (http) with context path ''
2023-08-31 19:35:09.199 [main] INFO  io.github.vino42.SpringbootRedisApplication - Started SpringbootRedisApplication in 2.57 seconds (process running for 3.221)
2023-08-31 19:41:59.850 [main] INFO  io.github.vino42.SpringbootRedisApplication - Starting SpringbootRedisApplication using Java 17.0.2 with PID 15036 (G:\Codes\SpringBoot-Learning\springboot-redis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis)
2023-08-31 19:41:59.853 [main] INFO  io.github.vino42.SpringbootRedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 19:42:00.438 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
