1693772897666|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693773034872|9|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693773034895|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693773068293|10|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693773068311|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693773072252|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693773072254|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693774999939|11|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693774999959|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693775166256|14|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693775166285|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693775181053|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693775181054|0|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693775269058|10|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693775269078|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
1693775303879|8|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT COUNT(*) AS `total` FROM `sys_account`|SELECT COUNT(*) AS `total` FROM `sys_account`
1693775303899|1|statement|connection 0|url jdbc:p6spy:mysql://127.0.0.1:3306/accounts?characterEncoding=utf-8&allowMultiQueries=true&serverTimezone=Asia/Shanghai&useAffectedRows=true|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10|SELECT `id`, `org_id`, `user_id`, `mobile`, `password`, `avatar`, `nick_name`, `statu`, `is_del`, `create_time`, `update_time`, `create_by`, `create_name`, `update_by`, `update_name`, `created_ip`, `last_signin_time`, `last_signin_ip`, `qq`, `wechat`, `dingtalk`, `weibo`, `baidu` FROM `sys_account` LIMIT 0, 10
