2023-08-31 20:22:56.797 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 980 ms
2023-08-31 20:22:56.907 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2023-08-31 20:33:41.780 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - Starting SpringbootRedisJedisApplication using Java 17.0.2 with PID 9708 (G:\Codes\SpringBoot-Learning\springboot-redis-jedis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis-jedis)
2023-08-31 20:33:41.783 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 20:33:42.355 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-31 20:33:42.358 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-31 20:33:42.387 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2023-08-31 20:33:42.901 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8887 (http)
2023-08-31 20:33:42.908 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8887"]
2023-08-31 20:33:42.910 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 20:33:42.910 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 20:33:42.993 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-31 20:33:42.993 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1167 ms
2023-08-31 20:33:43.725 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8887"]
2023-08-31 20:33:43.755 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8887 (http) with context path ''
2023-08-31 20:33:43.767 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - Started SpringbootRedisJedisApplication in 2.523 seconds (process running for 3.125)
2023-08-31 20:34:27.594 [http-nio-8887-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-31 20:34:27.594 [http-nio-8887-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-08-31 20:34:27.596 [http-nio-8887-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2023-08-31 20:35:22.080 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - Starting SpringbootRedisJedisApplication using Java 17.0.2 with PID 21484 (G:\Codes\SpringBoot-Learning\springboot-redis-jedis\target\classes started by vino in G:\Codes\SpringBoot-Learning\springboot-redis-jedis)
2023-08-31 20:35:22.083 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - No active profile set, falling back to 1 default profile: "default"
2023-08-31 20:35:22.662 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2023-08-31 20:35:22.665 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-08-31 20:35:22.694 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2023-08-31 20:35:23.163 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8887 (http)
2023-08-31 20:35:23.172 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8887"]
2023-08-31 20:35:23.174 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-08-31 20:35:23.175 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.12]
2023-08-31 20:35:23.261 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-08-31 20:35:23.261 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1126 ms
2023-08-31 20:35:23.942 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8887"]
2023-08-31 20:35:23.965 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8887 (http) with context path ''
2023-08-31 20:35:23.977 [main] INFO  io.github.vino42.SpringbootRedisJedisApplication - Started SpringbootRedisJedisApplication in 2.435 seconds (process running for 3.032)
2023-08-31 20:35:44.645 [http-nio-8887-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-08-31 20:35:44.645 [http-nio-8887-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
